"name","k","d","w_norm_ave","ave_psi","miss_p","n","AAD","AAD_w_obs","AAD_skl_w_obs","AAD_emp_w_obs","AAD_emp","AAD_psi","AAD_mu","time_taken"
"sim_1",2,10,1,0.1,0.2,10000,0.00211506115422002,0.00207086670508875,0.00183262797044548,0.00185430993758671,0.0186905474271638,0.00493614298139486,0.00355930865546223,98.86
"sim_2",2,10,1,2.575,0.2,10000,0.0702525730260794,0.0570794354014167,0.0180283962819366,0.0210317690305585,0.0736673343110539,0.133459609753181,0.0123689536292155,64.86
"sim_3",2,10,1,5.05,0.2,10000,0.136282844260191,0.163022279743386,0.0523752848020879,0.0409414624451523,0.114696145438408,0.258561549542009,0.0185610145764113,64.94
"sim_4",2,10,1,7.525,0.2,10000,0.0881454164479387,0.0866686488212696,0.0708900240952075,0.0674501231767543,0.231221678510771,0.226076053538338,0.0277159930074776,64.7
"sim_5",2,10,1,10,0.2,10000,0.0827750840517889,0.0827688046675245,0.091377144520563,0.084724739169008,0.189762693843977,0.151344143013867,0.0225061379599734,67.93
